SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1001 Pine St #809,SAN FRANCISCO,CA,94109,698000,1,1.0,SAN FRANCISCO,616,,1963,1,1133,636,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1001-Pine-St-94109/unit-809/home/1135226,MLSListings,ML81857160,N,Y,37.790348,-122.412568
MLS Listing,,Single Family Residential,618 Mangels Ave,San Francisco,CA,94127,1798000,3,3.0,San Francisco,1920,3746,1912,1,936,,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/618-Mangels-Ave-94127/home/1719034,San Francisco MLS,421582030,N,Y,37.7332736,-122.4516557
MLS Listing,,Condo/Co-op,163 Shipley St,San Francisco,CA,94107,925000,2,1.0,San Francisco,801,10427,1992,9,1155,599,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/163-Shipley-94107/home/1950146,San Francisco MLS,421576170,N,Y,37.7805383,-122.4018925
MLS Listing,,Condo/Co-op,900 Bush St #714,San Francisco,CA,94109,699000,2,2.0,San Francisco,802,,1982,23,872,1113,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-714/home/1914588,San Francisco MLS,421573013,N,Y,37.7899069,-122.4123875
MLS Listing,,Condo/Co-op,1117 Ocean Ave #308,San Francisco,CA,94112,1198000,3,2.5,San Francisco,1450,7642,2005,63,826,705,Active,,,http://www.redfin.com/CA/San-Francisco/1117-Ocean-Ave-94112/unit-308/home/12278050,San Francisco MLS,421559724,N,Y,37.723237,-122.4545155
MLS Listing,,Multi-Family (2-4 Unit),22 30th St,San Francisco,CA,94110,998000,3,2.0,San Francisco,1604,801,1907,66,622,,Active,,,http://www.redfin.com/CA/San-Francisco/22-30th-St-94110/home/808517,San Francisco MLS,421558100,N,Y,37.7424885,-122.422707
MLS Listing,,Condo/Co-op,388 Fulton St #405,SAN FRANCISCO,CA,94102,898000,2,1.0,SAN FRANCISCO,720,,2016,94,1247,639,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-405/home/105419644,MLSListings,ML81842102,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,248 Myrtle St,San Francisco,CA,94109,799000,2,1.0,San Francisco,975,3828,1900,95,819,461,Active,August-7-2021 01:00 PM,August-7-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/248-Myrtle-St-94109/home/1491675,San Francisco MLS,421544867,N,Y,37.7852487,-122.4221514
MLS Listing,,Condo/Co-op,91 6th Ave,San Francisco,CA,94118,1795000,3,,San Francisco,1590,4415,1909,1,1129,406,Active,,,http://www.redfin.com/CA/San-Francisco/91-6th-Ave-94118/home/1031726,San Francisco MLS,421582074,N,Y,37.786839,-122.46498
MLS Listing,,Single Family Residential,161 Anderson St,San Francisco,CA,94110,1595000,3,2.0,San Francisco,1429,1750,1908,1,1116,,Active,August-7-2021 11:00 AM,August-7-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/161-Anderson-St-94110/home/1132801,San Francisco MLS,421579723,N,Y,37.7408046,-122.4149706
MLS Listing,,Single Family Residential,3901 - 3901 1/2 Folsom St,San Francisco,CA,94110,1439000,3,2.0,San Francisco,2096,1751,1900,1,687,,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/3657-1-2-Folsom-St-94110/home/176019046,San Francisco MLS,421581535,N,Y,37.7407178,-122.4131462
MLS Listing,,Condo/Co-op,2878 Sacramento St #6,San Francisco,CA,94115,950000,1,1.0,San Francisco,,,,1,,400,Active,August-8-2021 02:00 AM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2878-Sacramento-St-94115/unit-6/home/1963879,San Francisco MLS,421574446,N,Y,37.7892369,-122.4402289
MLS Listing,,Single Family Residential,599 24th Ave,San Francisco,CA,94121,1850000,3,2.0,San Francisco,2120,2060,1914,1,873,,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/599-24th-Ave-94121/home/1888738,San Francisco MLS,421580131,N,Y,37.7783469,-122.483799
MLS Listing,,Single Family Residential,3009 Webster St,San Francisco,CA,94123,3750000,4,2.5,San Francisco,2774,2610,1900,1,1352,,Active,August-7-2021 01:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/3009-Webster-St-94123/home/562464,San Francisco MLS,421582562,N,Y,37.798412,-122.434344
MLS Listing,,Condo/Co-op,3943 26th St,SAN FRANCISCO,CA,94131,1198000,2,1.0,SAN FRANCISCO,881,,1900,1,1360,271,Active,August-7-2021 10:00 AM,August-7-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/3943-26th-St-94131/home/21966292,MLSListings,ML81857180,N,Y,37.748194,-122.428116
MLS Listing,,Condo/Co-op,2160 Hayes St #3,San Francisco,CA,94117,2495000,3,3.0,San Francisco,1701,3725,2021,1,1467,565,Active,August-8-2021 01:00 PM,August-8-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2160-Hayes-St-94117/unit-3/home/176017312,San Francisco MLS,421582356,N,Y,37.7733835,-122.4519189
MLS Listing,,Condo/Co-op,2160 Hayes St #2,San Francisco,CA,94117,2025000,3,3.0,San Francisco,1623,3725,2021,1,1248,565,Active,August-8-2021 01:00 PM,August-8-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2160-Hayes-St-94117/unit-2/home/176016945,San Francisco MLS,421582358,N,Y,37.7733835,-122.4519189
MLS Listing,,Condo/Co-op,4617 California St,SAN FRANCISCO,CA,94118,999000,2,1.0,SAN FRANCISCO,1313,,1910,1,761,,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/4617-California-St-94118/home/932210,MLSListings,ML81857166,N,Y,37.784519,-122.4670545
MLS Listing,,Condo/Co-op,413 Lyon St Unit A,San Francisco,CA,94117,1695000,2,2.0,San Francisco,1390,2809,1900,1,1219,,Active,August-6-2021 04:30 PM,August-6-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/413-Lyon-St-94117/unit-A/home/176016776,San Francisco MLS,421580308,N,Y,37.774804,-122.4431188
MLS Listing,,Condo/Co-op,413 Lyon St,San Francisco,CA,94117,2895000,4,3.5,San Francisco,2450,2809,1900,1,1182,,Active,August-6-2021 04:30 PM,August-6-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/413-Lyon-St-94117/home/1492342,San Francisco MLS,421576150,N,Y,37.774804,-122.4431188
MLS Listing,,Multi-Family (2-4 Unit),648 - 652 South Van Ness Ave,San Francisco,CA,94110,2095000,6,1.0,San Francisco,4275,3062,1911,1,490,,Active,,,http://www.redfin.com/CA/San-Francisco/648-S-Van-Ness-Ave-94110/home/709279,San Francisco MLS,421582355,N,Y,37.762706,-122.4176053
MLS Listing,,Single Family Residential,208 Fair Oaks St,San Francisco,CA,94110,4600000,8,,San Francisco,4463,3643,1900,1,1031,,Active,August-8-2021 12:00 PM,August-8-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/208-Fair-Oaks-St-94110/home/1292427,San Francisco MLS,421582500,N,Y,37.7531053,-122.4244043
MLS Listing,,Condo/Co-op,2779 Folsom St #5,San Francisco,CA,94110,2495000,3,3.5,San Francisco,2292,8260,,1,1089,708,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2779-Folsom-St-94110/unit-5/home/176015649,San Francisco MLS,421582494,N,Y,37.752965,-122.413713
MLS Listing,,Condo/Co-op,1974 Bush St,San Francisco,CA,94115,2495000,3,2.5,San Francisco,2231,4125,1900,1,1118,,Active,,,http://www.redfin.com/CA/San-Francisco/1974-Bush-St-94115/home/12395537,San Francisco MLS,421577927,N,Y,37.787777,-122.429784
MLS Listing,,Single Family Residential,1901 32nd Ave,SAN FRANCISCO,CA,94116,1098000,2,1.0,SAN FRANCISCO,825,1437,1942,1,1331,,Active,,,http://www.redfin.com/CA/San-Francisco/1901-32nd-Ave-94116/home/1889283,MLSListings,ML81857151,N,Y,37.7516137,-122.4904713
MLS Listing,,Condo/Co-op,8 Buchanan St #209,San Francisco,CA,94102,849000,1,1.0,San Francisco,721,,2014,1,1178,524,Active,,,http://www.redfin.com/CA/San-Francisco/8-Buchanan-St-94102/unit-209/home/110051636,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40962097,N,Y,37.7699896,-122.426517
MLS Listing,,Condo/Co-op,360 10th St #2,San Francisco,CA,94103,1095000,1,2.0,San Francisco,1324,2724,2001,1,827,757,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/360-10th-St-94103/unit-2/home/856912,San Francisco MLS,421580128,N,Y,37.7718639,-122.4121366
MLS Listing,,Single Family Residential,3224 Folsom St,San Francisco,CA,94110,1695000,2,2.0,San Francisco,1499,2000,1900,1,1131,,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/3224-Folsom-St-94110/home/756119,San Francisco MLS,421581684,N,Y,37.7465786,-122.4137539
MLS Listing,,Condo/Co-op,2171 Sacramento St #8,San Francisco,CA,94109,749000,1,1.0,San Francisco,684,5538,1970,1,1095,612,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2171-Sacramento-St-94109/unit-8/home/570523,San Francisco MLS,421582248,N,Y,37.7903955,-122.4286044
MLS Listing,,Condo/Co-op,2170 Harrison St #8,San Francisco,CA,94110,1195000,2,1.5,San Francisco,1485,,1997,1,805,596,Active,August-7-2021 01:00 PM,August-7-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/2170-Harrison-St-94110/unit-8/home/12395686,San Francisco MLS,421581990,N,Y,37.7625531,-122.413057
MLS Listing,,Condo/Co-op,425 1st St #1505,San Francisco,CA,94105,839000,1,,San Francisco,710,56024,2008,1,1182,1066,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-1505/home/17304946,San Francisco MLS,421582258,N,Y,37.785708,-122.392204
MLS Listing,,Condo/Co-op,45 Fountain St,San Francisco,CA,94114,999000,2,1.0,San Francisco,,3125,,1,,,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/45-Fountain-St-94114/home/28938889,San Francisco MLS,421582415,N,Y,37.7501548,-122.4413055
MLS Listing,,Condo/Co-op,280 Spear St Unit 18D,San Francisco,CA,94105,1720000,2,2.0,San Francisco,1072,47916,,1,1604,1181,Active,,,http://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-18D/home/176013633,San Francisco MLS,421582467,N,Y,37.7904356,-122.3918209
MLS Listing,,Condo/Co-op,260 King St #703,San Francisco,CA,94107,1295000,2,2.0,San Francisco,1286,213232,2004,1,1007,944,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-703/home/22889383,San Francisco MLS,421566500,N,Y,37.7776624,-122.3938672
MLS Listing,,Condo/Co-op,1550 Jackson St #1,San Francisco,CA,94109,748000,1,1.0,San Francisco,633,3192,1912,1,1182,275,Active,August-7-2021 02:30 PM,August-7-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/1550-Jackson-St-94109/unit-1/home/854182,San Francisco MLS,421573098,N,Y,37.794454,-122.420649
MLS Listing,,Single Family Residential,110 Castenada Ave,SAN FRANCISCO,CA,94116,2088000,4,3.0,SAN FRANCISCO,2354,3724,1961,1,887,57,Active,August-6-2021 05:00 PM,August-6-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/110-Castenada-Ave-94116/home/680724,MLSListings,ML81857096,N,Y,37.7494035,-122.4622706
